Location,Tags,Wikipedia,City,Comment,Rating,Latitude,Longitude,Category
Della Adventure Park,Theme Parks,"Della Adventure Park is an Indian amusement park located in the state of Maharashtra. It was started in 2013 by the Della Group and is spread across 36 acres in Kunegaon, Lonavala.[1] In addition to over fifty recreational activities including adventure sports and glamping activities, the park also houses Della Resorts, a resort with hotels, villas, and five restaurants.[2][3]
According to Conde Nast Traveller India, it is India's largest recreation park.[4]",Kune N.m.,"Although the museum is not big, the exhibits reflect some local culture of Pune, as well as some living utensils in India, which is very helpful for understanding Indian culture and Indian history. Foreigners 20 yuan a ticket.",3.9,42.8908802,11.60484567076578,Entertainment
Dharavi,Featured Neighborhoods,"Dharavi is a suburb in Mumbai, Maharashtra, India. It has often been considered to be one of the world's largest slums.[1][2] Dharavi has an area of just over 2.39 square kilometres (0.92Â sqÂ mi; 590 acres)[3] and a population of about 1,000,000. With a population density of over 277,136/km2 (717,780/sqÂ mi), Dharavi is one of the most densely populated areas in the world.
The Dharavi slum was founded in 1884 during the British colonial era, and grew because the expulsion of factories and residents from the peninsular city centre by the colonial government and from the migration of rural Indians into urban Mumbai.  For this reason, Dharavi is currently a highly diverse settlement religiously and ethnically.[4]
Dharavi has an active informal economy in which numerous household enterprises employ many of the slum residents[5]â€”leather, textiles and pottery products are among the goods made inside Dharavi. The total annual turnover has been estimated at over US$1 billion.[6]",Mumbai,"The Daharvey slum is the largest slum in Mumbai, India, with more than 1 million people living here, and is definitely the most embarrassing place behind the bustling Mumbai. The environment here is very poor, garbage is littered everywhere, and it is also a true picture of the huge gap between India's rich and poor. You can come and understand it.",4.5,19.044463,72.8586177,Neighborhoods
Bhau Daji Lad Museum,Museums,"Dr. Bhau Daji Lad Museum is the oldest museum in Mumbai. Situated in the vicinity of Byculla Zoo, Byculla East, it was originally established in 1855 as a treasure house of the decorative and industrial arts,[1] and was later renamed in honour of Dr. Bhau Daji Lad.
Lord Elphinstone established the Central Museum of Natural History, Economy, Geology, Industry and Arts, the first museum in Bombay in 1855; George Buist took the major initiative for its inception. In 1857, it was closed to the public and its collection was shifted to the Town Hall. In 1858, George Birdwood was appointed curator of the museum. Soon, a committee was formed, comprising him, Bhau Daji Lad and Jaganath Shunkerseth to raise money for construction of a new building for the museum. The foundation of the new building was laid in 1862. It was built with the patronage of many wealthy Indian businessmen and philanthropists like David Sassoon, Sir Jamsetjee Jejeebhoy and Jaganath Shunkerseth.
The construction of the present building in Jijamata Udyan in Byculla started in 1862 and was completed in 1871.[2] The museum was opened on 2 May 1872 as The Victoria and Albert Museum, Bombay. A little more than a hundred years later, on 1 November 1975, the museum was renamed the Dr. Bhau Daji Lad Museum in honour of the man whose vision and dedication enabled its establishment. Dr. Bhau Daji Lad was the first Indian Sheriff of Mumbai, a philanthropist, historian, physician, surgeon and secretary of the Museum Committee when it was first instituted.[3]",Mumbai,"I visited this museum many times with different friends. It is a beautiful historical building, once the Victoria and Albert Museum, now renamed. It shows many handicrafts from India that show different crafts. They are free to visit on weekends.",4.4,18.9791636,72.8348012,Museums
Durgadi Fort,Entertainment Centers,"Durgadi Fort is a fort located in Kalyan, near Mumbai in Maharashtra, India.
The fort has a Hindu temple and a masjid at the top, which has religious significance for both Hindus and Muslims. It has witnessed riots in the past and is considered communally sensitive. A team of State Reserve Police Force personnel is deployed for security.[1]
The fort's construction started during Shah Jahan's reign and was completed in Aurangzeb's reign in 1694 AD. Durgadi Fort is built on a hill beside the Kalyan creek. The fort came under Marathas when Chhatrapati Shivaji Maharaj captured Kalyan and Bhiwandi from Adilshah in 1654. Chhatrapati Shivaji Maharaj built the fort close to the creek and used it as a dock to build boats and ships. During British Raj, stones from the fort wall were used to construct the Kalyan and Thane piers.[2]",Thane,"St Mary's Church is one of the most famous Anglican churches, used mainly for British soldiers and their families before independence. The church is bustling on Easter, Christmas and other occasions, and there are still many tombstones and combat honours in various wars of the 18th and 19th centuries, with striking interior decorations in the church, although some inscriptions and tombstones are aging and beginning to fade.",3.5,19.2452962,73.1186797,Fort
Film City,Film Studios,"Film City may refer to 

",Mumbai,"The Mumbai film base is really unique. This film base can see many film shooting tools and channels, and there is a lot of landscape design in the whole base. It is also a good way to learn about Indian culture.",4.5,19.161697,72.88678,Entertainment
Flora Fountain,Fountains,"Flora Fountain is a Fountain located at the Hutatma Chowk is an ornamentally sculpted architectural heritage monument located at the southern end of the historic  Dadabhai Naoroji Road, at the Fort business district in the heart of South Mumbai, Mumbai, India. Flora Fountain, built in 1864, depicts the Roman goddess Flora. It was built at a total cost of Rs.Â 47,000, or 9,000 pounds sterling, a large sum in those days.[1]
The fountain originally intended for the Victoria Gardens, is now surmounted by the figure of Plenty (""Courtesy of Special Collections, University of Houston Libraries.""). History of the Flora Fountain is traced to the time when the Old Mumbai Fort was demolished in 1860 as part of the then Governor, Sir Bartle FrÃ¨re's efforts to improve civic sanitation (municipal improvements) and the urban space requirements of the growing city. Prior to this demolition, the Fort had been built between 1686 and 1743 by the British East India Company with three gates (the Apollo Gate, the Church Gate and the Bazaar Gate), a moat, esplanade, level open spaces on its western fringe (to control fires) and residences. A small road called the Hornby Road, named after the then Governor of Bombay (Mumbai) between 1771 AD and 1784 AD, also existed at the old Fort area.[2][3] Consequent to the demolitions, the Hornby road was widened into a broad avenue and on its western side commercial plots were developed to build new commercial buildings in Neo Classical and Gothic Revival designs. The Dadabhai Naoroji Road (D. N. Road), developed into a veritable sight of colonial splendor with Crawford Market linked to the Chhatrapati Shivaji Maharaj Terminus anchoring the northern end and the Flora Fountain, forming the southern end of the Mile Long Road.[4]
The Flora Fountain was erected at the exact place where the Church gate (named after St. Thomas Cathedral, Mumbai ) stood before its demolition along with the Mumbai Fort. It was constructed by the Agriâ€“Horticultural Society of Western India, out of a donation of Rs 20,000 by Cursetjee Fardoonjee Parekh. Designed by Richard Norman Shaw, it was sculpted in imported Portland stone by James Forsythe. A white coat of oil paint has to some extent marred the antiquity of the structure.[1]
The fountain was originally to be named after Sir Bartle FrÃ¨re, the Governor of Bombay at the time, whose progressive policy had resulted in many of the great public buildings of Mumbai.[5] However, the name was changed before the fountain was unveiled as Flora Fountain, named after Flora, a Roman Goddess of flowers and the season of spring; her majestic and pretty Portland stone statue adorns the top of the fountain. The four corners of the fountain have four life-sized female mythological figures carrying foliage to represent the four seasons.[6][7][8][9][10]",Mumbai,good place to visit with family very clam and peaceful place,4.0,18.9324959,72.83150053374067,Landmarks
Girgaon Chowpatty,Beaches,"Girgaon Chowpatty (IAST: GiragÄva ChaupÄá¹­Ä«), is a public beach along the Queenâ€™s Necklace adjoining Marine Drive in the Girgaon area of Mumbai (Bombay), Konkan division, India. It is served by the Charni Road railway station. The beach is noted for its Ganesh Visarjan, when thousands of people from all over Mumbai and Pune come to immerse idols of Ganesha in the Arabian Sea after the 10 day festival of Ganesh Chaturthi. It is also one of the many places in the city where the Ramlila play is performed onstage every year during Navaratri and an effigy of Ravana erected on the sand is burnt on Vijayadashami at the end of the 10-day performance.
Shiv Smarak, including 210Â m (690Â ft) tall statue of Chhatrapati Shivaji Maharaj, is being constructed facing Mumbai's Girgaum Chowpatty beach, 1.5Â km away on a manmade island of rocks.[1][2][3][4][5]
Chowpatty is an Anglicised form of Chau-pati (four channels or four creeks in Marathi) as per (Bombay City Gazetteer, I. 27). This name is analogous to that of Satpaty, a village in the Mahim Taluka of the Thane District, which is approached through a Channel or Creek, containing seven divisions of water.",Mumbai,"The first time I saw this seaside, everyone was wearing full costumes and standing on the beach watching the sea. No one went to the sea. No one wore a swimsuit. No one engaged in any water activities. But walking along the beach had a different feeling. After a period of adventure in messy Mumbai. It's worth a visit.",4.2,18.955151700000002,72.81083460942585,Beaches
Jogger's Park,City Parks,"Jogger's Park is a seaside jogging track along with a park in Bandra, Mumbai. It is situated at the southern end of the Carter Road. The park was opened to the public on 27 May 1990 and receives more than 2000 visitors on weekdays and double the number on Sundays.[1] Its jogging track is 400 metres long. It features a mud strip for running and two paved tracks for walking or jogging.[2]
Development of the park is credited to the city's veteran hockey coach and former corporator, Oliver Andrade.[3] Andrade's effort to rope in films star Dilip Kumar and Sunil Dutt, transformed the site from a dumping ground into a jogging track. The movie star's fund raising efforts led to financial assistance from the Rahejas, the Lokhandwalas and the Rizvi builders at a cost of â‚¹4 crore.[4] In his memory, a plaque at the entrance of the park reads ""From Sir with Love"". Mumbai's first laughter club was launched at Joggers Park.[citation needed]
On 11th Feb 2022, the BMC passed a proposal to rename the Jogger's Park as Sir Oliver Andrade Park.[5]",Mumbai,"A great place to relax, jog and refresh. Ample parking and on the beach. Of course suitable for all who like to relax and stay healthy. Best place to go with family and friends. Free entry-exit. N open all day with no time limit. Everyone can enjoy n enjoy n eat a lot of things in it",4.0,12.98031945,77.63377908872863,Nature
Juhu Beach,"Temples, Cemeteries, Historical Sites","Juhu (Pronunciation: [dÍ¡Ê’uÉ¦uË]) is a suburb of Mumbai. It is known for the sprawling Juhu Beach. It is surrounded by the Arabian Sea to the west, Versova to the north, Vile Parle to the east and Santacruz to the south. Juhu is among the most expensive and affluent areas of the metropolitan area and home to many Bollywood celebrities. The nearest railway stations are Santacruz, Andheri and Vile Parle on the Western Line and Harbour Line of the Mumbai Suburban Railway. The nearest metro station is D. N. Nagar. There are two minor B.E.S.T bus depots in Juhu.
J. R. D. Tata, the father of civil aviation in India, made his maiden voyage to Juhu Airport from Drigh Road airstrip, Karachi, via Ahmedabad, on 15 October 1932 carrying mail in a Puss Moth aircraft.[1][2]
In the nineteenth century, Juhu was an island: a long, narrow sand bar rising above sea level by a metre or two, just off the west coast of Salsette. It could be reached during low tides by walking across the tidal inlet.[3]",Mumbai,"One of the most popular areas in Mumbai and it is also very expensive. It is the hometown of famous landmarks such as Prithvi Theatre, Iskon Temple, juhu chowpaty, etc. The superstar of Indian cinema, Amitabu Bashan (Amitabh Bacchan), also lives in Juhu. This is a must-see for anyone coming to Mumbai. More importantly, it is one of my favorite places to run early in the morning.",3.5,19.1026521,72.82467917543212,"Religious, Religious, History"
Karnala Fort,Historical Sites,"Karnala Fort (also called Funnel Hill[1]) is a hill fort in Raigad district, Maharashtra, India, about 10Â km from Panvel city. Currently it is a protected place lying within the Karnala Bird Sanctuary. It was a place of strategic importance since it overlooked the Bor pass, which connected the Konkan coast to the interior of Maharashtra (Deccan Plateau)[1] on the main trade route between these areas.
The fort was likely constructed before 1400, under Devagiri Yadavs(1248â€“1318) and the Tughlaq rulers (1318â€“1347), Karnala  was the capital of the north Konkan districts of their respective empires.[2]  It later fell under the command of the Gujarat Sultanate but in 1540 was taken over by Nizam Shah of Ahmednagar. The Gujarat sultans then requested the help of the Dom Francisco de Menenzes the commanding officer of the Portuguese at Bassien (modern day Vasai) to win it back. He ordered 500 of his soldiers to Karnala fort and they were able to capture it. The fort was left in charge of the Gujarat Sultanate but with Portuguese garrisons.[3]
The Gujarat sultans fled to Vasai, surrendering the fort to the Portuguese. The loss of Karnala enraged Nizam Shah, who  sent 5,000 men to reclaim the fort and the surrounding countryside.[3] The attempt was unsuccessful, and the Portuguese continued to hold the fort. Deciding that the forts of Sangli and Karnala were of little strategic value, however, the Portuguese viceroy agreed to return them to Nizam Shah for an annual payment of Rs. 17,500 (or 5,000 gold Pardoas).[3][4]",Kalamboli,"The waterfall can be seen from the road and it takes about 2 km to walk from the main road to the waterfall. But unfortunately the police didn't allow us to go to that place, the waterfall passage was blocked by the police as it was an accident-prone area. Instead of taking protective measures, the government banned tourists from visiting the waterfall.",3.5,18.8810089,73.11829705771689,Fort
Kiddington,Entertainment Centers,"Kiddington is a village on the River Glyme in the civil parish of Kiddington with Asterleigh about 7 miles (11Â km) southeast of Chipping Norton, Oxfordshire. The village is just north of the A44 road between Woodstock and Chipping Norton.
The toponym is Old English, recorded in the Domesday Book in 1086 as Chidintone, meaning ""estate of a man named Cydda"".[2] Historically Cuddington has been an alternative form. It has also been known as Nether Kiddington to distinguish it from the hamlet of Over Kiddington 0.5 miles (800Â m) south of the village.
Offa of Mercia gave Kiddington, with Heythrop, to Worcester Priory in about 780.[3] After the Norman conquest of England the manor was held successively by the De Salcey, Willescote or Williamscote, Babington, Browne and Browne-Mostyn families.[4] After the English Reformation the Browne family were recusants with their own Roman Catholic chapel and priest, and they ensured the survival of Catholicism in this part of Oxfordshire.[5] Kiddington Hall was built in 1673, and in the 18th century ""Capability"" Brown laid out the gardens.[6] In 1850 the architect Charles Barry rebuilt the house so completely that no external trace of the original building is visible, added a new stable block and remodelled the gardens.[7]",Mumbai,"This historic library has many world-famous manuscripts, considered priceless works of art and literature such as the original manuscript of Dante's Divine Comedy, many 14th-century books, many cultural events, from museums to Mumbai University and the High Court.",4.5,51.902818,-1.3988084,Entertainment
